theta,dist
0.12, 00950.00
0.59, 00952.00
1.31, 00957.00
1.91, 00958.00
2.50, 00960.00
2.97, 00963.00
3.56, 00966.00
4.30, 00970.00
4.77, 00976.00
5.36, 00978.00
5.95, 00981.00
6.55, 00987.00
7.28, 00990.00
7.75, 00994.00
8.34, 00999.00
8.94, 01003.00
9.55, 01006.00
10.14, 01014.00
10.73, 01018.00
11.20, 01023.00
11.92, 01027.00
12.53, 01031.00
13.12, 01037.00
13.59, 01043.00
14.19, 01051.00
14.80, 01054.00
15.39, 01062.00
15.98, 01064.00
16.70, 01075.00
17.17, 01082.00
17.78, 01088.00
18.38, 01099.00
18.98, 01102.00
19.56, 01115.00
20.05, 01120.00
20.77, 01128.00
21.25, 01136.00
21.98, 01144.00
22.45, 01154.00
23.06, 01163.00
23.67, 01172.00
24.27, 01179.00
24.88, 01192.00
25.48, 01201.00
26.08, 01214.00
26.69, 01223.00
27.30, 01224.00
27.89, 01208.00
28.50, 01194.00
29.23, 01185.00
29.72, 01174.00
30.44, 01160.00
31.05, 01153.00
31.66, 01144.00
32.25, 01132.00
32.86, 01123.00
33.47, 01111.00
34.06, 01105.00
34.67, 01097.00
35.28, 01087.00
35.88, 01081.00
36.48, 01070.00
37.22, 01062.00
37.81, 01054.00
38.42, 01050.00
39.03, 01042.00
39.64, 01036.00
40.23, 01029.00
40.83, 01021.00
41.44, 01019.00
42.03, 01011.00
42.64, 01007.00
43.23, 01001.00
43.84, 00994.00
44.44, 00988.00
45.17, 00980.00
45.64, 00979.00
46.25, 00975.00
46.97, 00968.00
47.45, 00964.00
48.17, 00960.00
48.66, 00955.00
49.38, 00953.00
49.97, 00948.00
50.58, 00944.00
51.17, 00939.00
51.78, 00935.00
52.38, 00934.00
52.98, 00929.00
53.58, 00926.00
54.19, 00926.00
54.78, 00920.00
55.39, 00918.00
56.11, 00913.00
56.59, 00914.00
57.31, 00911.00
57.80, 00910.00
58.52, 00906.00
59.00, 00904.00
59.59, 00902.00
60.19, 00900.00
60.78, 00901.00
61.38, 00898.00
61.97, 00895.00
62.58, 00894.00
63.16, 00893.00
63.75, 00893.00
64.47, 00892.00
64.94, 00891.00
65.53, 00888.00
66.12, 00888.00
66.84, 00886.00
67.44, 00888.00
67.91, 00885.00
68.50, 00884.00
69.22, 00884.00
69.81, 00883.00
70.41, 00886.00
70.88, 00884.00
71.47, 00883.00
72.06, 00885.00
72.78, 00886.00
73.25, 00886.00
73.84, 00888.00
74.56, 00888.00
75.16, 00888.00
75.75, 00890.00
76.34, 00891.00
76.94, 00893.00
77.53, 00893.00
78.02, 00894.00
78.62, 00897.00
79.38, 00895.00
79.86, 00898.00
80.48, 00902.00
81.09, 00902.00
81.72, 00904.00
82.34, 00907.00
82.97, 00909.00
83.70, 00909.00
84.19, 00911.00
84.81, 00911.00
85.44, 00917.00
86.05, 00920.00
86.67, 00924.00
87.28, 00925.00
87.91, 00929.00
88.53, 00935.00
89.14, 00936.00
89.77, 00939.00
90.38, 00943.00
91.00, 00946.00
91.62, 00947.00
92.23, 00952.00
92.73, 00959.00
93.47, 00962.00
94.09, 00966.00
94.59, 00973.00
95.33, 00975.00
95.83, 00980.00
96.56, 00985.00
97.19, 00990.00
97.69, 00995.00
98.28, 01001.00
98.89, 01006.00
99.48, 01015.00
100.09, 01021.00
100.70, 01026.00
101.17, 01031.00
101.78, 01038.00
102.52, 01046.00
103.11, 01053.00
103.72, 01060.00
104.19, 01065.00
104.92, 01072.00
105.53, 01080.00
106.00, 01090.00
106.61, 01095.00
107.22, 01105.00
107.81, 01117.00
108.42, 01126.00
109.02, 01135.00
109.50, 01140.00
110.11, 01152.00
110.83, 01160.00
111.31, 01172.00
112.05, 01185.00
112.52, 01194.00
113.12, 01206.00
113.72, 01217.00
114.33, 01233.00
114.94, 01240.00
115.53, 01258.00
116.14, 01268.00
116.62, 01284.00
117.36, 01294.00
117.97, 01310.00
118.45, 01328.00
119.06, 01331.00
119.67, 01318.00
120.28, 01303.00
120.89, 01286.00
121.64, 01276.00
122.11, 01264.00
122.72, 01249.00
123.33, 01238.00
124.06, 01227.00
124.67, 01216.00
125.28, 01204.00
125.89, 01195.00
126.50, 01187.00
127.11, 01174.00
127.84, 01162.00
128.45, 01154.00
129.06, 01143.00
129.67, 01140.00
130.28, 01136.00
130.89, 01124.00
131.50, 01110.00
132.11, 01106.00
132.72, 01096.00
133.33, 01088.00
133.94, 01078.00
134.55, 01073.00
135.16, 01063.00
135.89, 01061.00
136.38, 01054.00
137.11, 01049.00
137.72, 01043.00
138.34, 01040.00
138.95, 01029.00
139.45, 01028.00
140.19, 01023.00
140.81, 01015.00
141.42, 01008.00
142.03, 01005.00
142.66, 01001.00
143.39, 00997.00
143.89, 00992.00
144.50, 00989.00
145.25, 00984.00
145.73, 00982.00
146.48, 00979.00
146.97, 00973.00
147.58, 00971.00
148.20, 00967.00
148.81, 00963.00
149.44, 00963.00
150.05, 00959.00
150.80, 00954.00
151.28, 00953.00
152.02, 00950.00
152.64, 00948.00
153.25, 00945.00
153.88, 00943.00
154.48, 00940.00
155.11, 00938.00
155.72, 00938.00
156.22, 00933.00
156.95, 00937.00
157.56, 00934.00
158.17, 00934.00
158.67, 00932.00
159.41, 00930.00
160.02, 00926.00
160.64, 00930.00
161.25, 00928.00
161.86, 00927.00
