theta,dist
0.44, 01783.00
1.06, 01780.00
1.69, 01778.00
2.31, 01754.00
2.95, 01744.00
3.58, 01732.00
4.22, 01730.00
4.84, 01723.00
5.47, 01711.00
6.11, 01707.00
6.88, 01703.00
7.38, 01691.00
8.14, 01690.00
8.66, 01677.00
9.28, 01675.00
9.92, 01671.00
10.69, 01668.00
11.31, 01664.00
11.95, 01662.00
12.47, 01650.00
13.22, 01644.00
13.86, 01644.00
14.38, 01638.00
15.14, 01647.00
15.77, 01644.00
16.28, 01652.00
16.92, 01640.00
17.55, 01638.00
18.19, 01626.00
18.95, 01620.00
19.58, 01618.00
20.09, 01629.00
20.73, 01622.00
21.48, 01615.00
22.12, 01617.00
22.77, 01612.00
23.39, 01618.00
24.03, 01615.00
24.67, 01608.00
25.31, 01616.00
25.95, 01614.00
26.59, 01612.00
27.23, 01617.00
27.89, 01615.00
28.41, 01610.00
29.05, 01633.00
29.69, 01636.00
30.47, 01641.00
31.11, 01642.00
31.64, 01640.00
32.39, 01644.00
33.05, 01645.00
33.56, 01653.00
34.20, 01658.00
34.97, 01656.00
35.50, 01658.00
36.14, 01884.00
36.78, 01649.00
37.55, 01656.00
38.20, 01668.00
38.84, 01661.00
39.48, 01662.00
40.12, 01686.00
40.78, 01678.00
41.30, 01684.00
41.94, 01698.00
42.58, 01689.00
43.36, 01697.00
43.88, 01710.00
44.52, 01713.00
45.16, 01719.00
45.81, 01726.00
46.44, 01743.00
47.08, 01748.00
47.70, 01758.00
48.34, 01763.00
48.97, 01776.00
49.61, 01794.00
50.23, 01788.00
50.88, 01809.00
51.52, 01821.00
52.14, 01822.00
52.66, 02239.00
53.41, 01862.00
54.05, 01886.00
54.67, 01895.00
55.31, 01907.00
55.95, 01916.00
56.45, 01928.00
57.09, 01949.00
57.72, 01960.00
58.36, 01982.00
58.98, 01990.00
59.62, 02011.00
60.25, 02021.00
60.89, 02042.00
61.53, 02051.00
62.16, 02076.00
62.80, 02092.00
63.42, 02116.00
64.06, 02126.00
64.69, 02160.00
65.33, 02176.00
65.97, 02180.00
66.61, 02222.00
67.27, 02233.00
67.91, 02248.00
68.44, 02292.00
69.09, 02302.00
69.86, 02319.00
70.52, 02349.00
71.17, 02383.00
71.69, 02418.00
72.34, 02451.00
73.00, 02474.00
73.64, 02511.00
74.30, 02531.00
74.95, 02563.00
75.59, 02608.00
76.25, 02639.00
76.91, 02675.00
77.55, 02715.00
78.20, 02757.00
78.86, 02793.00
79.50, 02848.00
80.69, 02900.00
81.45, 02928.00
81.98, 02985.00
82.28, 00000.00
82.64, 03036.00
83.28, 03076.00
83.94, 03145.00
84.59, 03189.00
85.23, 03416.00
85.89, 03374.00
86.55, 03475.00
87.19, 03532.00
87.83, 03623.00
88.47, 03682.00
89.11, 03763.00
89.62, 03869.00
90.27, 03932.00
90.91, 04077.00
91.55, 04194.00
92.19, 04310.00
92.83, 04396.00
93.48, 04545.00
94.12, 04621.00
94.77, 04753.00
95.41, 04919.00
96.05, 05076.00
96.69, 05301.00
97.33, 05461.00
97.97, 05631.00
98.48, 05818.00
99.14, 06134.00
99.77, 06379.00
100.42, 06658.00
101.06, 07103.00
101.70, 07424.00
105.14, 00000.00
105.80, 00000.00
106.45, 00000.00
107.11, 00000.00
107.48, 08410.00
107.77, 00000.00
108.12, 08226.00
108.42, 00000.00
109.06, 00000.00
109.72, 00000.00
111.69, 00000.00
112.33, 00000.00
112.98, 00000.00
113.27, 08219.00
113.64, 00000.00
113.91, 08304.00
114.30, 00000.00
114.55, 08297.00
114.95, 00000.00
115.61, 00000.00
118.22, 00000.00
118.88, 00000.00
119.52, 00000.00
119.70, 08226.00
120.17, 00000.00
120.34, 08304.00
120.83, 00000.00
121.48, 00000.00
122.14, 00000.00
124.09, 00000.00
124.75, 00000.00
124.84, 08074.00
125.41, 00000.00
126.06, 00000.00
126.12, 07191.00
126.70, 00000.00
126.77, 06836.00
127.36, 00000.00
127.42, 06383.00
128.19, 05821.00
128.67, 00000.00
130.14, 05344.00
130.78, 05150.00
131.44, 04860.00
131.94, 00000.00
132.08, 04674.00
132.59, 00000.00
133.38, 04444.00
134.03, 04264.00
134.67, 04129.00
135.33, 03894.00
135.86, 00000.00
135.97, 03841.00
136.75, 03697.00
137.39, 03597.00
138.05, 03553.00
138.69, 03453.00
139.34, 03377.00
139.98, 03297.00
140.64, 03229.00
141.41, 02512.00
141.94, 03017.00
142.58, 02969.00
143.36, 02898.00
144.00, 02829.00
144.66, 02787.00
145.30, 02719.00
145.95, 02698.00
147.25, 02627.00
147.89, 02590.00
148.55, 02548.00
149.20, 02491.00
149.58, 00000.00
149.86, 02463.00
150.52, 02412.00
151.17, 02388.00
151.95, 02341.00
152.50, 02308.00
153.28, 02274.00
153.94, 02242.00
154.59, 01944.00
155.25, 02131.00
155.92, 02122.00
156.58, 02089.00
157.23, 02064.00
157.89, 02039.00
158.55, 02016.00
159.22, 01988.00
159.88, 01967.00
160.66, 01946.00
161.19, 01909.00
161.97, 01895.00
163.95, 01877.00
164.61, 01860.00
165.25, 00000.00
165.27, 01834.00
165.91, 00000.00
165.94, 01820.00
166.59, 01795.00
167.25, 01781.00
167.91, 01766.00
168.56, 01749.00
169.22, 01735.00
169.89, 01727.00
170.53, 01708.00
171.17, 01695.00
171.83, 01689.00
172.59, 01678.00
173.25, 01663.00
173.89, 01654.00
174.53, 01646.00
175.08, 01632.00
175.83, 01621.00
176.48, 01611.00
177.00, 01601.00
177.77, 01593.00
178.42, 01585.00
179.06, 01575.00
179.72, 01566.00
180.36, 01553.00
181.00, 01548.00
181.66, 01543.00
182.30, 01530.00
182.95, 01526.00
183.59, 01519.00
